prefecture_norm,year,population,n_events,H_sum,E_sum,human_burden,econ_burden,H_pref_norm,E_pref_norm,logE_pref_norm,N_norm,risk_pref_raw,risk_score
Aichi,2003,7158000.0,1,2380.0,93787000.0,0.000332495110366024,13.10240290583962,0.0001562275286599907,4.8095678385429414e-05,0.21145188549291627,0.0,0.06354492491793687,0.0680912103761689
Aichi,2004,7192000.0,1,6058.0,1001435000.0,0.0008423248053392659,139.24290878754172,0.0003957782191813194,0.0005111262572693828,0.3949923734036419,0.0,0.11877475677451949,0.12727242909416406
Aichi,2007,7360000.0,2,43682.0,90774000.0,0.005935054347826087,12.333423913043479,0.002788669199384263,4.527294681562011e-05,0.20697160453487676,0.2,0.064043549800032,0.06862550909143811
Aichi,2009,7418000.0,1,5159.0,1462167000.0,0.0006954704772175788,197.11067673227285,0.00032677663678145106,0.0007235445118409933,0.42259497999758283,0.0,0.12700723764502186,0.1360938981193471
Aichi,2010,7411000.0,1,16700.0,0.0,0.0022534070975576844,0.0,0.0010587951850743764,0.0,0.0,0.0,0.0007411566295520635,0.0007941822584525029
Aichi,2011,7416000.0,2,22798.0,2538081000.0,0.0030741639697950377,342.24393203883494,0.0014444394059448438,0.0012562927733941302,0.46651110916690025,0.2,0.14096444033423147,0.15104966092497035
Aichi,2012,7427000.0,1,9106.0,215872000.0,0.001226067052645752,29.06584085094924,0.0005760849397015903,0.0001066935083293982,0.2719422858047533,0.0,0.0819859451992171,0.08785158294951678
Aichi,2013,7443000.0,2,50027.0,272003000.0,0.006721348918446863,36.54480720139728,0.003158120820587427,0.00013414694285065538,0.2896924512159633,0.2,0.0891184199392002,0.09549434653213315
Aichi,2014,7455000.0,4,29386.0,7950929617.453325,0.003941784037558686,1066.52308751889,0.0018521029618188346,0.003914942303070374,0.5571738617985341,0.6,0.1684486306128334,0.18050019194213252
Aichi,2015,7483000.0,1,865.0,273962000.0,0.00011559534945877322,36.61125217158894,5.4314109313222274e-05,0.00013439084589192448,0.2898337353148416,0.0,0.08698814047097173,0.09321165743275184
Akita,1961,1335580.0,1,2020.0,1117152.915610286,0.0015124515191901645,0.8364552595952964,0.0007106467304166191,3.070420245691434e-06,0.04856823933894952,0.0,0.01506792451297649,0.0161459505896073
Akita,1965,1290984.0,1,1330.0,4037235.784136182,0.001030221908249831,3.127254701945324,0.00048406432960795007,1.1479378054162035e-05,0.11327200563261237,0.0,0.034320446720509275,0.03677588353229211
Akita,1966,1279835.0,1,520.0,442436.7982614994,0.0004063023749155165,0.3456983113147393,0.00019090691544865012,1.2689729448000287e-06,0.02372435319603255,0.0,0.00725094079962382,0.007769705229016137
Akita,1972,1239597.0,1,500.0,841018571.4285715,0.00040335689744328197,678.4612833272196,0.00018952294121304616,0.0024904634603572064,0.5210738318015566,0.0,0.15645481559931612,0.16764828626511857
Akita,1980,1251892.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akita,1982,1256202.4,1,3950.0,445341000.0,0.0031443977499167335,354.51373122675136,0.0014774397405506153,0.0013013321695901378,0.46931751565554947,0.0,0.14182946251505027,0.15197657062500147
Akita,1983,1255659.8,1,1097.0,1310187000.0,0.0008736442784900814,1043.4251379235045,0.0004104941164584206,0.003830155446561222,0.5554260183075539,0.0,0.16691515137378707,0.17885700080439434
Akita,1987,1248721.2,1,65090.0,94318133250.0,0.05212532629381162,75531.77863081047,0.024491821544422795,0.27725846617705724,0.8975003196026282,0.0,0.2863943709618844,0.3068842931028735
Akita,1990,1232788.8,1,60400.0,9603335000.0,0.0489946047530607,7789.927195964142,0.023020807764112798,0.028594894826201537,0.7159912900999086,0.0,0.23091195246485152,0.24743241657710976
