prefecture_norm,year,population,n_events,H_sum,E_sum,human_burden,econ_burden,H_pref_norm,E_pref_norm,logE_pref_norm,N_norm,risk_pref_raw,risk_year_norm,risk_cum_raw,risk_cum_norm,risk_final,half_life_years,decay_alpha,blend_prev_weight
Aomori,1980,1512854.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05036967841226359,0.1682667453038348,0.0841333726519174,3,0.2062994740159002,0.5
Aomori,1982,1524015.2,1,3950.0,445341000.0,0.0025918376667109356,292.21558945081387,0.0012178115729653222,0.0010726511091466398,0.45392367422199087,0.0,0.137029570367673,0.146833272927946,0.0682475685409393,0.22817138840902473,0.18750233066848537,3,0.2062994740159002,0.5
Aomori,1983,1524123.4,1,1097.0,1310187000.0,0.0007197579933488326,859.6331504391312,0.0003381884696300557,0.003155500546739178,0.539960437157193,0.0,0.16222486307589895,0.17383114850180967,0.08763503497293881,0.29313426987678387,0.23348270918929676,3,0.2062994740159002,0.5
Aomori,1987,1516133.0,1,65090.0,94318133250.0,0.042931589774775694,62209.66976511955,0.020172014453308174,0.22835630158750866,0.8819958554416769,0.0,0.2787191667498188,0.2986599707772317,0.12705559085129411,0.425223365061082,0.36194166791915683,3,0.2062994740159002,0.5
Aomori,1990,1491188.0,1,60400.0,9603335000.0,0.04050461779467109,6440.056518695161,0.019031667354184247,0.023639853646166147,0.7007882931121809,0.0,0.22355865508158324,0.23955303172097436,0.1469641222429254,0.4919322137664009,0.36574262274368763,3,0.2062994740159002,0.5
Aomori,1994,1482949.2,1,305.0,360618000.0,0.0002056712394463681,243.1762328743291,9.663753978147716e-05,0.0008926397677857503,0.43929992757922876,0.0,0.13185762455161565,0.14129130319440555,0.1438476597149858,0.48148967417458005,0.3113904886844928,3,0.2062994740159002,0.5
Aomori,1998,1478000.0,1,378.0,5773120000.0,0.0002557510148849797,3906.035182679296,0.00012016823033511806,0.014338088460444647,0.6608435015786217,0.0,0.1983371682348211,0.21252708796385306,0.15508881666201274,0.5191561711803403,0.36584162957209665,3,0.2062994740159002,0.5
Aomori,1999,1475000.0,1,27598.0,9415846000.0,0.01871050847457627,6383.624406779661,0.008791396949377694,0.023432705329570813,0.7000851499827653,0.0,0.21617952285939399,0.23164596368708285,0.1676917972177924,0.5613858217051896,0.3965158926961362,3,0.2062994740159002,0.5
Aomori,2003,1462000.0,2,4683.0,491103000.0,0.003203146374829001,335.9117647058824,0.0015050436125958694,0.0012330489542475922,0.4650232848462939,0.2,0.14056051598270528,0.15061683803578846,0.16209462816961645,0.5426310127306906,0.3466239253832395,3,0.2062994740159002,0.5
Aomori,2008,1392000.0,1,480.0,160267000.0,0.0003448275862068965,115.13433908045977,0.00016202211679921955,0.00042262966444611265,0.3799203323550095,0.0,0.1140895151882623,0.12225198456731935,0.15219119861148922,0.5094469284272848,0.31584945649730206,3,0.2062994740159002,0.5
