disno_core,prefecture_norm,disno,event_year,year,disaster_type_gdis,disaster_subtype,country,iso3,region,island,capital,location_str,location_str_emdat,start_year,end_year,decade,human_impact_best,damage_final_usd,damage_final_log10,damage_adj_usd,damage_imputed_usd,damage_imputed_flag,latitude,longitude,population_at_event,pop_is_observed,pop_is_interpolated,human_per_100k,econ_per_capita,econ_per_capita_log10
1965-0055,Saitama,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Saitama-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.99757593,139.3488579,2898160.6,False,True,25.18839018099963,1.3930338381303582,0.14396166598232998
1965-0055,Shiga,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,otsu-shi,Shiga,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.21763711,136.1382324,851247.0,False,True,85.7565430480225,4.742731292017689,0.6760285196129135
1965-0055,Shimane,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Matsue-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.07076032,132.554064,835073.2,False,True,87.41748627545466,4.834589092472591,0.6843595678801905
1965-0055,Shizuoka,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Shizuoka-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,34.92114009,138.4052614,2881271.0,False,True,25.336040934712493,1.4011996039720602,0.14650000589888543
1965-0055,Tochigi,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Utsunomiya-shi,Tochigi,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,36.69030812,139.8191975,1520049.6,False,True,48.02474866609616,2.6559895046425996,0.42422635454959046
1965-0055,Tokushima,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Shikoku,Shikoku,Tokushima-shi,Shikoku,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,33.91892997,134.2409976,821546.8,False,True,88.85677602298493,4.914188435931078,0.6914518056068245
1965-0055,Tokyo,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Shinjuku-ku,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.7113435,139.4469212,10632155.6,False,True,6.865964226482916,0.3797194036678867,0.0
1965-0055,Tottori,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Tottori-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.35952638,133.8651396,583709.4,False,True,125.06223130893557,6.916516650470563,0.8398874267748043
1965-0055,Toyama,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Toyama-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,36.63785294,137.2698289,1026894.8,False,True,71.08809977419303,3.931498907323498,0.5945581592993843
1965-0055,Wakayama,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Wakayama-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,33.91187939,135.505446,1022018.2,False,True,71.42729943556779,3.9502582088422518,0.5966254842366662
