prefecture_norm,year,population,pop_is_observed,pop_is_interpolated,events_count,human_impact_sum,damage_sum_usd,events_with_human,events_with_damage,human_per_100k,econ_per_capita,econ_per_capita_log10,human_risk_norm,econ_risk_norm,risk_score
Akita,2010,1086000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2011,1075000.0,True,False,1.0,368820.0,292855483000.0,1.0,1.0,34308.83720930233,272423.7051162791,5.435244895286514,0.1614692805540386,1.0,0.5807346402770193
Akita,2012,1063000.0,True,False,1.0,7766.0,215872000.0,1.0,1.0,730.5738476011289,203.07808090310442,2.3076630506497917,0.0034383337693463314,0.5500532746637093,0.27674580421652784
Akita,2013,1050000.0,True,False,1.0,19289.0,269310000.0,1.0,1.0,1837.047619047619,256.48571428571427,2.4090631808331695,0.008645782880414926,0.5646411124217917,0.28664344765110333
Akita,2014,1037000.0,True,False,2.0,4400.0,8062972000.0,2.0,2.0,424.30086788813884,7775.2864030858245,3.8907163952537194,0.0019969069618534343,0.7777978082427928,0.3898973576023231
Akita,2015,1023000.0,True,False,1.0,845.0,273962000.0,1.0,1.0,82.6001955034213,267.80254154447704,2.4278146943096877,0.00038874515216575566,0.5673387819003145,0.28386376352624015
Akita,2016,1010000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2017,996000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2018,981000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1960,1417789.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1961,1426606.0,True,False,1.0,202.0,1117152.915610286,1.0,1.0,14.159480613427954,0.7830844084563544,-0.10619142293431086,6.663942393970633e-05,0.20278629020732758,0.10142646481563364
Aomori,1962,1424603.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1963,1422600.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1964,1420597.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1965,1418594.0,False,True,1.0,730.0,4037235.784136182,1.0,1.0,51.45940276076171,2.845941674740047,0.45422599532728386,0.00024218578702713396,0.2834102337823395,0.1418262097846833
Aomori,1966,1416591.0,True,False,1.0,80.0,442436.7982614994,1.0,1.0,5.647360459017458,0.31232501001453444,-0.5053932374271597,2.6578435893468078e-05,0.1453554832446321,0.07269103084026278
Aomori,1967,1418776.8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1968,1420962.6,False,True,1.0,2781.0,1181406000.0,1.0,1.0,195.71239946779738,831.4124523755938,2.9198165248099697,0.0009210903926817306,0.6381201789955441,0.3195206346941129
Aomori,1969,1423148.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1970,1425334.2,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1971,1427520.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1972,1435745.2,False,True,1.0,50.0,841018571.4285715,1.0,1.0,3.4825120780483894,585.7714665726004,2.7677282130064285,1.6389909000202405e-05,0.6162401319632733,0.30812826093613677
Aomori,1973,1443970.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1974,1452195.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1975,1460420.8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1976,1468646.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1977,1479698.2,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1978,1490750.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1979,1501802.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1980,1512854.8,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1981,1523907.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1982,1524015.2,False,True,1.0,3150.0,445341000.0,1.0,1.0,206.6908519022645,292.21558945081387,2.465703381454073,0.0009727587953552409,0.5727896035109917,0.28688118115317346
Aomori,1983,1524123.4,False,True,1.0,77.0,1310187000.0,1.0,1.0,5.05208436534732,859.6331504391312,2.934313155045538,2.3776860253070846e-05,0.6402057235558217,0.3201147502080374
Aomori,1984,1524231.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1985,1524339.8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1986,1524448.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1987,1516133.0,False,True,1.0,65010.0,94318133250.0,1.0,1.0,4287.882395541816,62209.66976511955,4.7938578959324945,0.020180260883943372,0.9077274410812,0.4639538509825717
Aomori,1988,1507818.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1989,1499503.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1990,1491188.0,False,True,1.0,60000.0,9603335000.0,1.0,1.0,4023.637529271963,6440.056518695161,3.808889678796105,0.018936632946732996,0.7660258818971206,0.3924812574219268
Aomori,1991,1482873.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1992,1482898.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1993,1482923.8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1994,1482949.2,False,True,1.0,285.0,360618000.0,1.0,1.0,19.218460079414722,243.1762328743291,2.385921126374026,9.044873492647029e-05,0.5613118017470601,0.2807011252409933
Aomori,1995,1482974.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1996,1483000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1997,1480000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,1998,1478000.0,True,False,1.0,258.0,5773120000.0,1.0,1.0,17.456021650879567,3906.035182679296,3.591736150773306,8.21540887587709e-05,0.7347852865481508,0.3674337203184548
Aomori,1999,1475000.0,True,False,1.0,27338.0,9415846000.0,1.0,1.0,1853.4237288135594,6383.624406779661,3.805067326515977,0.008722854529507813,0.7654759826532448,0.3870994185913763
Aomori,2000,1474500.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2001,1474000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2002,1469000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2003,1462000.0,True,False,2.0,4483.0,491103000.0,2.0,2.0,306.63474692202465,335.9117647058824,2.5262252144917747,0.0014431294093798248,0.5814965221271619,0.29146982576827085
Aomori,2004,1452000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2005,1437500.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2006,1423000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2007,1407000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2008,1392000.0,True,False,1.0,470.0,160267000.0,1.0,1.0,33.764367816091955,115.13433908045977,2.0612048722742506,0.0001589068188573905,0.5145967923713003,0.25737784959507887
Aomori,2009,1379000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2010,1373000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aomori,2011,1363000.0,True,False,1.0,368820.0,292855483000.0,1.0,1.0,27059.42773294204,214860.95597945707,5.332157503703465,0.12735104665854108,0.9851694259110139,0.5562602362847775
Aomori,2012,1350000.0,True,False,1.0,7766.0,215872000.0,1.0,1.0,575.2592592592592,159.9051851851852,2.2038625466780823,0.0027073694791223332,0.5351201093077274,0.26891373939342483
Aomori,2013,1335000.0,True,False,1.0,19289.0,269310000.0,1.0,1.0,1444.8689138576779,201.73033707865167,2.304771214202513,0.006800053950888144,0.5496372432361409,0.27821864859351453
